Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;{ñ class}
Fabricação de tênis de qualquer material;0;6937;7350;1872;258;0
Fabricação de calçados de material sintético;16;32368;11539;22063;1070;0
Fabricação de calçados de materiais não especificados anteriormente;14;29009;12125;5229;77;0
Fabricação de partes para calçados, de qualquer material;0;3615;8732;10967;191;0
Serrarias com desdobramento de madeira (Desativado);8;0;10;34;8;0
Serrarias sem desdobramento de madeira (Desativado);1;5;0;0;0;0
Serrarias com desdobramento de madeira em bruto;10275;603;8733;36006;7785;0
Serrarias sem desdobramento de madeira em bruto  Resserragem;1545;336;2406;3115;1227;0
Serviço de tratamento de madeira realizado sob contrato;37;33;629;280;93;0
Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;3432;78;6281;24250;1653;0
Fabricação de casas de madeira pré-fabricadas;8;6;83;154;5;0
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;877;2325;3152;15124;846;0
Fabricação de outros artigos de carpintaria para construção;38;622;1645;1093;217;0
Fabricação de artefatos de tanoaria e de embalagens de madeira;133;1386;9496;5376;385;0
Fabricação de artefatos diversos de madeira, exceto móveis;1305;1483;9071;11869;1165;0
Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;9;103;598;246;31;0
Fabricação de celulose e outras pastas para a fabricação de papel;754;4653;9587;3946;5885;0
Fabricação de papel;736;2541;15911;20007;952;0
Fabricação de cartolina e papel-cartão;0;0;1418;1796;0;0
Fabricação de embalagens de papel;169;3325;12367;7857;1693;0
Fabricação de embalagens de cartolina e papel-cartão;46;470;6952;2770;33;0
Fabricação de chapas e de embalagens de papelão ondulado;1571;2445;21628;9898;709;0
Fabricação de formulários contínuos;8;8;132;145;139;0
Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo;1114;1794;11053;6167;896;0
Fabricação de fraldas descartáveis;0;658;5813;1137;835;0
Fabricação de absorventes higiênicos;0;208;151;41;0;0
