Município;1 - Alimentícios;1.1 - Açaí (fruto);1.2 - Castanha-de-caju;1.3 - Castanha-do-pará;1.4 - Erva-mate;1.5 - Mangaba (fruto);1.6 - Palmito;1.7 - Pequi (fruto);1.8 - Pinhão;1.9 - Umbu (fruto);1.10 - Outros;2 - Aromáticos, medicinais, tóxicos e corantes;2.1 - Ipecacuanha ou poaia (raiz);2.2 - Jaborandi (folha);2.3 - Urucum (semente);2.4 - Outros;3 - Borrachas;3.1 - Caucho;3.2 - Hevea (látex coagulado);3.3 - Hevea (látex líquido);3.4 - Mangabeira;4 - Ceras;4.1 - Carnaúba (cera);4.2 - Carnaúba (pó);4.3 - Outras;5 - Fibras;5.1 - Buriti;5.2 - Carnaúba;5.3 - Piaçava;5.4 - Outras;6 - Gomas não elásticas;6.1 - Balata;6.2 - Maçaranduba;6.3 - Sorva;7.1 - Carvão vegetal;7.2 - Lenha;7.3 - Madeira em tora;8 - Oleaginosos;8.1 - Babaçu (amêndoa);8.2 - Copaíba (óleo);8.3 - Cumaru (amêndoa);8.4 - Licuri (coquilho);8.5 - Oiticica (semente);8.6 - Pequi (amêndoa);8.7 - Tucum (amêndoa);8.8 - Outros;9.1 - Pinheiro brasileiro (nó de pinho);9.2 - Pinheiro brasileiro (árvores abatidas);9.3 - Pinheiro brasileiro (madeira em tora);10 - Tanantes;10.1 - Angico (casca);10.2 - Barbatimão (casca);10.3 - Outros
Alvorada do Gurguéia (PI);3;-;-;-;-;-;-;0;-;-;2;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;12;97;8;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Amarante (PI);13;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;...;212;-;212;-;-;-;-;-;-;-;-;-;-;51;35;6;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Angical do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;41;36;-;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anísio de Abreu (PI);10;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;18;188;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Antônio Almeida (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;5;82;3;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aroazes (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;227;-;227;-;-;-;-;-;-;-;-;-;-;21;44;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aroeiras do Itaim (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;540;-;540;-;-;-;-;-;-;-;-;-;-;1;25;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arraial (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;77;-;77;-;-;-;-;-;-;-;-;-;-;14;22;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Assunção do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;154;-;154;-;-;-;-;-;-;-;-;-;-;38;397;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Avelino Lopes (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;107;236;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baixa Grande do Ribeiro (PI);1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;52;574;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barra D'Alcântara (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;163;-;163;-;-;-;-;-;-;-;-;-;-;21;23;5;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barras (PI);3;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;...;1285;-;1285;-;-;-;-;-;-;-;-;-;-;667;165;56;1052;1025;-;-;-;-;-;27;-;-;-;-;-;-;-;-
Barreiras do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;24;43;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
