"Município";"Abacate";"Abacaxi*";"Açaí";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Azeitona";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Cana-de-açúcar";"Cana para forragem";"Caqui";"Castanha de caju";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Figo";"Fumo (em folha)";"Girassol (em grão)";"Goiaba";"Guaraná (semente)";"Juta (fibra)";"Laranja";"Limão";"Linho (semente)";"Maçã";"Malva (fibra)";"Mamão";"Mamona (baga)";"Mandioca";"Manga";"Maracujá";"Marmelo";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Rami (fibra)";"Sisal ou agave (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tangerina";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Floriano (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"7";"-";"-";"100";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"795";"-";"-";"-";"-";"720";"-";"-";"-";"9";"2292";"-";"-";"-";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"257";"162";"-";"-";"312";"-";"2226";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-"
"Francinópolis (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"530";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"138";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-";"-";"-";"72";"-";"275";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Francisco Ayres (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"1989";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"8";"509";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"110";"-";"-";"-";"-";"-";"3899";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Francisco Macedo (PI)";"-";"-";"-";"...";"-";"30";"-";"50";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"456";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"601";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Francisco Santos (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1877";"-";"-";"-";"-";"-";"-";"-";"-";"-";"908";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"990";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Fronteiras (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342";"7434";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"293";"-";"-";"-";"-";"-";"4451";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Geminiano (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"7";"-";"-";"390";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"1620";"-";"-";"-";"-";"16";"-";"-";"-";"-";"3348";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1366";"-";"-";"-";"189";"-";"1672";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"250";"-";"-";"-";"-";"-"
"Gilbués (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"5042";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"-";"...";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"29";"6213";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"420";"-";"-";"-";"-";"-";"127394";"-";"-";"-";"-";"-";"-";"-";"375938";"13071";"-";"-";"-";"-";"-";"-";"-"
"Guadalupe (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"38";"-";"-";"55080";"-";"-";"-";"...";"-";"-";"-";"-";"...";"202";"...";"-";"7";"-";"-";"-";"-";"97";"-";"-";"-";"-";"301";"-";"-";"-";"540";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173";"15";"-";"-";"-";"-";"109";"-";"-";"-";"-";"-";"-";"-";"11079";"-";"-";"-";"-";"-";"-";"-";"-"
"Guaribas (PI)";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"...";"9";"...";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1168";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"109";"-";"-";"-";"-";"-";"1404";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
