Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Bonfim do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;583;-;-;-;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boqueirão do Piauí (PI);-;-;-;...;-;-;-;-;170;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;125;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;-;-;-;-;-;-;-;-;347;-;-;-;-;-;548;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brasileira (PI);-;-;-;...;-;-;-;-;12;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;132;-;-;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;253;-;-;-;675;-;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brejo do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;218;-;-;-;...;-;-;-;-;...;-;...;-;6;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;440;-;684;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);-;-;-;...;-;-;-;-;23858;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;49;-;-;-;-;-;-;-;-;-;1985;-;-;-;-;-;-;-;-;-;-;-;-;-;7800;-;-;-;-;-;1176;-;-;-;-;-;-;-;1078;-;-;-;-;-;-;-;-
Buriti dos Montes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;1397;-;-;-;-;-;-;-;-;-;-;-;-;-;244;-;-;-;-;-;1836;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cabeceiras do Piauí (PI);-;-;-;...;-;-;-;-;1212;-;-;25;-;-;-;...;-;-;-;-;...;-;...;-;106;-;-;-;-;60;-;-;-;-;234;-;-;-;-;-;-;-;-;-;-;-;-;-;567;-;-;-;732;-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);-;-;-;...;-;-;-;-;141;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;4;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;510;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cajueiro da Praia (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;109;-;-;-;-;192;-;-;-;-;615;-;-;-;-;-;-;-;-;-;-;-;-;-;4272;-;-;-;-;-;154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caldeirão Grande do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;518;8120;-;-;-;-;-;-;-;-;-;-;-;-;-;37311;-;-;-;-;-;7658;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
