Município;Peixes;Carpa;Curimatã, curimbatá;Dourado;Jatuarana, piabanha e piracanjuba;Lambari;Matrinxã;Pacu e patinga;Piau, piapara, piauçu, piava;Pintado, cachara, cachapira e pintachara, surubim;Pirapitinga;Pirarucu;Tambacu, tambatinga;Tambaqui;Tilápia;Traíra e trairão;Truta;Tucunaré;Outros peixes;Alevinos;Camarão;Larvas e pós-larvas de camarão;Ostras, vieiras e mexilhões;Sementes de moluscos;Outros produtos (rã, jacaré, siri, caranguejo, lagosta, etc)
Arraial (PI);-;-;-;-;-;-;-;-;-;-;-;-;9;14;2;-;-;-;-;-;-;-;-;-;-
Baixa Grande do Ribeiro (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;47;9;-;-;-;11;-;-;-;-;-;-
Barra D'Alcântara (PI);-;-;-;-;-;-;-;-;-;-;-;-;151;42;-;-;-;-;-;-;-;-;-;-;-
Barras (PI);-;-;-;-;-;-;-;-;-;-;-;-;357;1555;192;-;-;-;94;-;-;-;-;-;-
Barreiras do Piauí (PI);-;4;-;-;-;-;-;-;-;-;-;-;10;64;-;-;-;-;-;-;-;-;-;-;-
Barro Duro (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;211;-;-;-;-;13;-;-;-;-;-;-
Batalha (PI);-;-;-;-;-;-;-;-;-;-;-;-;485;240;80;-;-;-;74;-;-;-;-;-;-
Belém do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;48;48;-;-;-;40;-;-;-;-;-;-
Beneditinos (PI);-;-;-;-;-;-;-;-;-;-;-;-;146;3686;78;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;98;-;-;-;-;21;-;-;-;-;-;-
Boa Hora (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;35;18;-;-;-;9;-;-;-;-;-;-
Bocaina (PI);-;-;-;-;-;-;-;-;29;-;-;-;-;71;1466;-;-;-;-;-;-;-;-;-;-
Bom Jesus (PI);-;-;8;-;-;-;-;-;9;-;-;-;120;177;-;-;-;-;29;-;-;-;-;-;-
Bom Princípio do Piauí (PI);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Bonfim do Piauí (PI);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Boqueirão do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;-;-;-;-;-
Brasileira (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;3;-;-;-;-;-;-
Brejo do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);-;-;-;-;-;-;-;-;-;-;-;-;47;147;43;-;-;-;-;113;-;-;-;-;-
Cabeceiras do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;379;-;-;-;-;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-
Cajueiro da Praia (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55034;5972;-;-;-
Caldeirão Grande do Piauí (PI);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Campinas do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;160;-;-;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Campo Grande do Piauí (PI);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Campo Largo do Piauí (PI);-;-;-;-;-;-;-;-;-;-;-;-;97;706;22;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);-;-;-;-;-;-;-;-;-;-;-;-;113;991;679;-;-;-;-;-;-;-;-;-;-
Canavieira (PI);-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);-;-;-;-;-;-;-;-;-;-;-;-;120;-;7;-;-;-;-;-;-;-;-;-;-
